class_name,precision,recall,f1_score,support
battery,0.5273,0.6444,0.58,90
biological,0.4318,0.4222,0.427,90
brown-glass,0.614,0.3889,0.4762,90
cardboard,0.6,0.6333,0.6162,90
clothes,0.3333,0.7333,0.4583,90
green-glass,0.7857,0.8556,0.8191,90
metal,0.2222,0.0444,0.0741,90
paper,0.3625,0.3222,0.3412,90
plastic,0.32,0.4444,0.3721,90
shoes,0.3043,0.0778,0.1239,90
trash,0.4012,0.7222,0.5159,90
white-glass,0.0769,0.0222,0.0345,90
