epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.422421,0.12881,2.231187,0.224074
2,2.165286,0.24119,2.106301,0.275926
3,2.036716,0.309048,1.978866,0.326852
4,1.928881,0.355952,1.902631,0.362963
5,1.855382,0.378571,1.83034,0.374074
6,1.821408,0.400952,1.799569,0.396296
7,1.784623,0.422143,1.765246,0.436111
8,1.743961,0.414048,1.724274,0.431481
