class_name,precision,recall,f1_score,support
battery,0.4715,0.6444,0.5446,90
biological,0.4578,0.4222,0.4393,90
brown-glass,0.623,0.4222,0.5033,90
cardboard,0.5914,0.6111,0.6011,90
clothes,0.3402,0.7333,0.4648,90
green-glass,0.8085,0.8444,0.8261,90
metal,0.1765,0.0333,0.0561,90
paper,0.3034,0.3,0.3017,90
plastic,0.3248,0.4222,0.3671,90
shoes,0.1667,0.0333,0.0556,90
trash,0.375,0.7,0.4884,90
white-glass,0.0435,0.0111,0.0177,90
