epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.730793,0.623441,1.137903,0.813373
2,0.995194,0.796344,0.760546,0.849375
3,0.754925,0.824364,0.59782,0.869214
4,0.633121,0.841791,0.519424,0.884644
5,0.563867,0.854434,0.460126,0.892726
