class_name,precision,recall,f1_score,support
battery,0.9103,0.9296,0.9199,142
biological,0.9281,0.9595,0.9435,148
brown-glass,0.9213,0.9011,0.9111,91
cardboard,0.9111,0.9179,0.9145,134
clothes,0.9925,0.9875,0.99,799
green-glass,0.8713,0.9362,0.9026,94
metal,0.7874,0.8696,0.8264,115
paper,0.9231,0.9114,0.9172,158
plastic,0.8595,0.8,0.8287,130
shoes,0.9729,0.9663,0.9696,297
trash,0.8889,0.9905,0.9369,105
white-glass,0.9368,0.7672,0.8436,116
