class_name,precision,recall,f1_score,support
battery,0.872,0.9083,0.8898,120
biological,0.9322,0.9167,0.9244,120
brown-glass,0.9231,0.9231,0.9231,91
cardboard,0.9016,0.9167,0.9091,120
clothes,0.9339,0.9417,0.9378,120
green-glass,0.8173,0.9043,0.8586,94
metal,0.8362,0.8435,0.8398,115
paper,0.876,0.8833,0.8797,120
plastic,0.8378,0.775,0.8052,120
shoes,0.928,0.9667,0.9469,120
trash,0.9065,0.9238,0.9151,105
white-glass,0.93,0.8017,0.8611,116
