actual/predicted,battery,biological,brown-glass,cardboard,clothes,green-glass,metal,paper,plastic,shoes,trash,white-glass
battery,94,0,1,4,10,6,2,3,0,11,11,0
biological,8,59,5,21,27,11,0,3,1,8,0,5
brown-glass,6,9,54,6,3,1,2,3,1,4,0,2
cardboard,15,14,0,65,10,2,2,5,2,2,3,14
clothes,8,11,16,66,587,34,6,15,19,18,2,17
green-glass,4,1,3,2,1,69,1,7,1,4,0,1
metal,13,2,7,7,19,4,17,12,14,5,4,11
paper,8,4,1,13,32,4,10,41,10,8,1,26
plastic,6,0,3,4,9,6,4,5,43,3,25,22
shoes,110,19,8,15,88,3,4,17,2,13,7,11
trash,7,0,1,0,3,2,3,6,5,2,62,14
white-glass,2,0,1,8,5,2,1,10,16,0,46,25
